Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
2019-02-21 23:45:35.400,0.125,0.305,0.941
2019-02-21 23:45:35.413,0.129,0.305,0.941
2019-02-21 23:45:35.425,0.129,0.305,0.934
2019-02-21 23:45:35.438,0.125,0.309,0.930
2019-02-21 23:45:35.450,0.133,0.305,0.938
2019-02-21 23:45:35.463,0.133,0.305,0.938
2019-02-21 23:45:35.475,0.133,0.309,0.938
2019-02-21 23:45:35.488,0.133,0.309,0.941
2019-02-21 23:45:35.500,0.117,0.313,0.941
2019-02-21 23:45:35.513,0.129,0.309,0.938
2019-02-21 23:45:35.525,0.121,0.309,0.934
2019-02-21 23:45:35.538,0.121,0.309,0.934
2019-02-21 23:45:35.550,0.125,0.309,0.930
2019-02-21 23:45:35.563,0.129,0.305,0.938
2019-02-21 23:45:35.575,0.129,0.305,0.934
2019-02-21 23:45:35.588,0.129,0.309,0.930
2019-02-21 23:45:35.600,0.129,0.309,0.934
2019-02-21 23:45:35.613,0.129,0.309,0.938
2019-02-21 23:45:35.625,0.129,0.309,0.938
2019-02-21 23:45:35.638,0.129,0.309,0.930
2019-02-21 23:45:35.650,0.129,0.305,0.926
2019-02-21 23:45:35.663,0.129,0.305,0.934
2019-02-21 23:45:35.675,0.133,0.305,0.934
2019-02-21 23:45:35.688,0.137,0.305,0.934
2019-02-21 23:45:35.700,0.137,0.305,0.930
2019-02-21 23:45:35.713,0.125,0.297,0.930
2019-02-21 23:45:35.725,0.125,0.301,0.930
2019-02-21 23:45:35.738,0.129,0.305,0.938
2019-02-21 23:45:35.750,0.133,0.309,0.941
2019-02-21 23:45:35.763,0.129,0.313,0.941
2019-02-21 23:45:35.775,0.125,0.320,0.941
2019-02-21 23:45:35.788,0.125,0.324,0.930
2019-02-21 23:45:35.800,0.125,0.320,0.926
2019-02-21 23:45:35.813,0.121,0.316,0.930
2019-02-21 23:45:35.825,0.121,0.309,0.930
2019-02-21 23:45:35.838,0.125,0.305,0.941
2019-02-21 23:45:35.850,0.125,0.297,0.938
2019-02-21 23:45:35.863,0.129,0.297,0.938
2019-02-21 23:45:35.875,0.129,0.297,0.945
2019-02-21 23:45:35.888,0.129,0.297,0.941
2019-02-21 23:45:35.900,0.133,0.301,0.941
2019-02-21 23:45:35.913,0.133,0.305,0.938
2019-02-21 23:45:35.925,0.137,0.313,0.934
2019-02-21 23:45:35.938,0.129,0.316,0.926
2019-02-21 23:45:35.950,0.129,0.316,0.934
2019-02-21 23:45:35.963,0.125,0.313,0.934
2019-02-21 23:45:35.975,0.125,0.313,0.934
2019-02-21 23:45:35.988,0.125,0.309,0.934
2019-02-21 23:45:36.000,0.113,0.309,0.930
2019-02-21 23:45:36.013,0.125,0.309,0.926
2019-02-21 23:45:36.025,0.129,0.305,0.926
2019-02-21 23:45:36.038,0.121,0.305,0.934
2019-02-21 23:45:36.050,0.121,0.301,0.941
2019-02-21 23:45:36.063,0.129,0.305,0.941
2019-02-21 23:45:36.075,0.125,0.305,0.938
2019-02-21 23:45:36.088,0.125,0.305,0.934
2019-02-21 23:45:36.100,0.133,0.309,0.930
2019-02-21 23:45:36.113,0.129,0.309,0.930
2019-02-21 23:45:36.125,0.125,0.313,0.930
2019-02-21 23:45:36.138,0.125,0.309,0.930
2019-02-21 23:45:36.150,0.125,0.309,0.926
2019-02-21 23:45:36.163,0.129,0.309,0.930
